,IP,Domain,Location
58.162.239.188,58.162.239.188,mail.incapital.com.au,Australia  04  Cairns
165.228.5.47,165.228.5.47,capita23.lnk.telstra.net,Australia  05  Athelstone
203.47.7.82,203.47.7.82,,Australia
115.124.5.66,115.124.5.66,,Australia  07  Corio
180.76.15.137,180.76.15.137,baiduspider-180-76-15-137.crawl.baidu.com,China  22  Beijing
180.76.15.145,180.76.15.145,baiduspider-180-76-15-145.crawl.baidu.com,China  22  Beijing
180.76.15.154,180.76.15.154,baiduspider-180-76-15-154.crawl.baidu.com,China  22  Beijing
180.76.15.31,180.76.15.31,baiduspider-180-76-15-31.crawl.baidu.com,China  22  Beijing
159.203.83.207,159.203.83.207,,United States  IL  Palatine
110.174.54.198,110.174.54.198,110-174-54-198.static.tpgi.com.au,Australia  02  Hornsby
180.76.15.11,180.76.15.11,baiduspider-180-76-15-11.crawl.baidu.com,China  22  Beijing
121.208.113.101,121.208.113.101,CPE-121-208-113-101.eqmp1.cha.bigpond.net.au,Australia  04  Eight Mile Plains
58.108.233.242,58.108.233.242,static-58-108-233-242.optusnet.com.au,Australia  02  Sydney
203.45.76.115,203.45.76.115,dahlgr.lnk.telstra.net,Australia  04  Maroochydore
180.76.15.19,180.76.15.19,baiduspider-180-76-15-19.crawl.baidu.com,China  22  Beijing
61.8.5.198,61.8.5.198,,Australia  02  Westmead
202.173.184.17,202.173.184.17,mail.mikecrowley.com.au,Australia  07  Armadale
101.187.91.199,101.187.91.199,mjw1600923.lnk.telstra.net,Australia  02  Blacktown
1.152.96.39,1.152.96.39,,Australia  07  Carnegie
61.8.5.182,61.8.5.182,remote.sconevet.com.au,Australia  02  Westmead
182.18.178.74,182.18.178.74,,India
203.149.73.158,203.149.73.158,mail.customaccounting.com.au,Australia  04  Brisbane
180.76.15.149,180.76.15.149,baiduspider-180-76-15-149.crawl.baidu.com,China  22  Beijing
59.100.254.102,59.100.254.102,59-100-254-102.syd.static-ipl.aapt.com.au,Australia
202.80.150.114,202.80.150.114,host-202-80-150-114.bigair.com.au,Australia  02  Quakers Hill
180.76.15.26,180.76.15.26,baiduspider-180-76-15-26.crawl.baidu.com,China  22  Beijing
183.82.103.2,183.82.103.2,,India  02  Hyderabad
86.47.80.146,86.47.80.146,,Ireland
43.252.253.62,43.252.253.62,,Australia
103.4.237.225,103.4.237.225,mail.gmgfg.com.au,Australia  07
203.26.147.254,203.26.147.254,,Australia  07
121.217.226.6,121.217.226.6,CPE-121-217-226-6.lnse3.cht.bigpond.net.au,Australia  02  Tamworth
180.76.15.30,180.76.15.30,baiduspider-180-76-15-30.crawl.baidu.com,China  22  Beijing
95.45.254.123,95.45.254.123,,Ireland  07  Clondalkin
89.145.95.43,89.145.95.43,centro-43.grapeshot.co.uk,United Kingdom
180.76.15.157,180.76.15.157,baiduspider-180-76-15-157.crawl.baidu.com,China  22  Beijing
89.145.95.41,89.145.95.41,centro-41.grapeshot.co.uk,United Kingdom
109.71.40.220,109.71.40.220,cp23.webserver.pt,Portugal  14  Lisbon
180.76.15.9,180.76.15.9,baiduspider-180-76-15-9.crawl.baidu.com,China  22  Beijing
